username,url,niches
komalpandeyofficial,https://www.instagram.com/komalpandeyofficial/,Fashion
masoomminawala,https://www.instagram.com/masoomminawala/,Fashion
kushakapila,https://www.instagram.com/kushakapila/,Fashion|Comedy
fittuber,https://www.instagram.com/fittuber/,Fitness
taneja.gaurav,https://www.instagram.com/taneja.gaurav/,Fitness|Lifestyle
sahilkhan,https://www.instagram.com/sahilkhan/,Fitness
nishamadhulika,https://www.instagram.com/nishamadhulika/,Food
shivesh17,https://www.instagram.com/shivesh17/,Food
sanjeevkapoor,https://www.instagram.com/sanjeevkapoor/,Food
techburner,https://www.instagram.com/techburner/,Technology
trakintech,https://www.instagram.com/trakintech/,Technology
geekyranjit,https://www.instagram.com/geekyranjit/,Technology
ankurwarikoo,https://www.instagram.com/ankurwarikoo/,Finance|Education
ca_rachanaranade,https://www.instagram.com/ca_rachanaranade/,Finance
pranjal_kamra,https://www.instagram.com/pranjal_kamra/,Finance
shivya,https://www.instagram.com/shivya/,Travel
dianaruiz,https://www.instagram.com/dianaruiz/,Travel
mumbikernikhil,https://www.instagram.com/mumbikernikhil/,Travel|Automotive|Lifestyle
malvikasee,https://www.instagram.com/malvikasee/,Beauty
shreemukhii,https://www.instagram.com/shreemukhii/,Beauty
corallista,https://www.instagram.com/corallista/,Beauty
mostlysane,https://www.instagram.com/mostlysane/,Comedy
dollysingh,https://www.instagram.com/dollysingh/,Comedy
powerdrift,https://www.instagram.com/powerdrift/,Automotive
autocarindia,https://www.instagram.com/autocarindia/,Automotive
beerbiceps,https://www.instagram.com/beerbiceps/,Lifestyle
warikoo,https://www.instagram.com/warikoo/,Education|Finance
jayshetty,https://www.instagram.com/jayshetty/,Education
sandeepmaheshwari,https://www.instagram.com/sandeepmaheshwari/,Education
dabboo_ratnani,https://www.instagram.com/dabboo_ratnani/,Photography
raghu_rai,https://www.instagram.com/raghu_rai/,Photography
storiesbyjulia,https://www.instagram.com/storiesbyjulia/,Photography
